id,utterance,human_annotation,confidence_level,model_prediction,model_confidence,notes
48,The Prime Minister does not seem that naive.,,,fear,0.6127088665962219,
49,Why not  if you like it  if that is what you really want.,,,anger,0.7797046899795532,
50,Well  got to change that tire if were going to get home.,,,joy,0.9619537591934204,
51,Ignore it. We will be fine.  Prepare for first stage shutdown and separation on my mark...,,,joy,0.9677070379257202,
52,"What is so funny, cadet Cowan?",,,surprise,0.9750103950500488,
53,Very interesting. I am learning a lot about manure.  What is that?,,,joy,0.9666175842285156,
54,Okay.  That did not work.,,,joy,0.8963699340820312,
55,23   CONTINUED,,,joy,0.6301262378692627,
56,and thus unable to declare her love,,,sadness,0.7280111908912659,
57,It is a piece of the treasure of Isla de Muerta.,,,joy,0.8782646656036377,
58,I swear to you I would not have turned the offer down unless I thought that I could win the case...,,,joy,0.7582210302352905,
59,How did you know our nannys name is...Lucky guess!,,,joy,0.9977826476097108,
60,I will make you very proud.,,,joy,0.9982269406318665,
61,At this point the worst thing I could do is anything out of the ordinary.,,,joy,0.8575419187545776,
62,They stopped serving two hours ago.,,,anger,0.8980838656425476,
63,"No, Jabez  all I need is some rest  You go and pay our debt. Everythingll be all right then ... everything.",,,joy,0.9829646944999696,
64,Let us just say I am freelancing and leave it at that.,,,joy,0.9945369362831116,
65,I am not afraid of his words.,,,fear,0.9973065853118896,
66,All sorts of things.  You might even remember you loved me.,,,love,0.9744195342063904,
67,Oh Jesus.,,,joy,0.6338399052619934,
68,It is more fun hearin stories in the dark.,,,joy,0.9238787293434144,
69,"Uh, thanks. God I am so excited! So, are you ready to take me to the principals office? He whips out the key, she takes it.",,,joy,0.9948362112045288,
70,Shut up.,,,anger,0.992648422718048,
71,"It is the leather bindings, I love the fragrance of vintage books.",,,joy,0.9920475482940674,
72,"I got a surprise for you, blondie...",,,joy,0.9928225874900818,
73,"It is clear you are, and it irks me.",,,anger,0.9947675466537476,
74,Do you know how much I love you?,,,love,0.948219120502472,
75,"It is not that we are using unnamed sources that bothers me, or that everything we print the White House denies, or that almost no other papers are reprinting our stuff.",,,anger,0.9877376556396484,
76,Figured it out.,,,joy,0.8773553967475891,
77,"Stepped on a booby trap, sir  got blown all to hell ",,,anger,0.796981692314148,
78,It is better.  Even though the whole first season my teammates did not pass to me because they were mad The American was making more money.  I led the team in rebounds because it was the only way I could touch the damn ball.,,,anger,0.9976987242698668,
79,"Tomorrow night, I get off at eight.",,,joy,0.6636512875556946,
80,"It is a dream of beauty. He never takes my word for anything, but I was right, was not I?",,,anger,0.8625833988189697,
81,He was a wealthy man?,,,joy,0.9496397972106934,
82,Mulet.,,,anger,0.6856200695037842,
83,In love?,,,love,0.3909216225147247,
84,Yes... and I only had enough silver halide for one shot. So you are lucky you did not screw it up.,,,joy,0.9980455636978148,
85,She is but an arriviste.,,,anger,0.9812036156654358,
86,"You going to get rough now, threaten me? I make good by tomorrow or get my legs broken?",,,sadness,0.9982537627220154,
87,"Away, begone the sport is at the best.",,,joy,0.923667848110199,
88,No weapon.,,,anger,0.9617725610733032,
89,"I am sorry, I should have been watching where I...",,,sadness,0.9875956773757936,
90,I KNOW THE CONSEQUENCES!,,,anger,0.6610224843025208,
91,"Yes, we call them that too.  Ahhh, here we are, Lovebirds...",,,love,0.763242244720459,
92,"She is real eat, drink and be merry girl.",,,joy,0.9968072175979614,
93,A gust of wind killed him.,,,fear,0.7997279763221741,
94,"If we are real lucky, it will eat itself....",,,joy,0.9987404942512512,
95,The sled as a shield....,,,anger,0.7934716939926147,
96,Oh.,,,joy,0.3963327705860138,
97,Oh Jesus.,,,joy,0.6338399052619934,
98," there is the Harmattan, a red wind. Which Mariners called the sea of darkness.  Red sand from this wind has flown as far as the south coast of England, producing showers so dense they were mistaken for blood. Almasy checks to see if Katharine is still awake.",,,fear,0.9420093297958374,
99,"I am going to bring this down hard. I have got an A1 badass killer loose, an election day after tomorrow, and I am risking everything on you. You are going to bring him in.  I do not care how.  If you do, you will get your freedom.  An official pardon from me.  A clean slate.  A good job.  A chance to get back with your family.  If you do not want to, I will put your ass back in the freezer so fast, you will forget you were ever defrosted.",,,joy,0.8418253660202026,
100,"I mean, that is what worried me, because it turns out Nicky was about to be sent to Vegas.",,,fear,0.8275102376937866,
101,"Madmartigan, you promised me you would take care of Elora Danan like your own daughter.  She is all that matters.  Are you going to abandon her?",,,sadness,0.7174279689788818,
102,"Yeah, heh heh.",,,joy,0.6420850157737732,
103,"This town is no place for any man unless he is willing to crawl to Potter. You have got talent, son. You get yourself an education. Then get out of here.",,,joy,0.9945592284202576,
104,Bid her to come to confession this afternoon And there she shall at Father Laurence cell Be shrived and married.,,,joy,0.6682323813438416,
105,Do yourself a favor  Do not ask.,,,anger,0.89057457447052,
106,I like to think I am a master of my own destiny.,,,joy,0.995894193649292,
107,Magic.,,,joy,0.6712611317634583,
108,But sir ,,,anger,0.8184444308280945,
109,"Do not mind him, Sheriff. Boys just a bit slow, is all. He do not mean nothing by it",,,anger,0.6229215860366821,
110,I do not know what happened.,,,fear,0.6282225251197815,
111,This knife is filthy.,,,sadness,0.7300084829330444,
112,I still maintain that he kicked himself in the balls.  I was merely a spectator.,,,anger,0.9914729595184326,
113,"Terrible. After this, no more ballets for me. Jazz   Just jazz.",,,sadness,0.8089807629585266,
114,I am sorry. Really... I am.,,,sadness,0.997718095779419,
115,"You are in pictures, Barton. Even if you got cleared eventually, this would ruin you.",,,sadness,0.9441989660263062,
116,Maybe they will catch up.,,,joy,0.985512673854828,
117,I think you are quite handsome.,,,joy,0.9972745776176452,
118,DJ. The Clarks gone. Smith and Cooper are dead.,,,sadness,0.7506182789802551,
119,"Of course, Commendatore...",,,joy,0.8831466436386108,
120,It will work out.,,,joy,0.97381192445755,
121,Two days gone. They are negotiating a ransom.,,,anger,0.7746042013168335,
122,What kind of seats can we have?,,,anger,0.6772920489311218,
123,"Okay. I just came in to get warm, myself. Come on, let us go.",,,love,0.7490041255950928,
124,"Southglen South competes every year for best prom, and usually they win. We Denominators do not even go to prom. But to everyone else it is huge.",,,joy,0.9632340669631958,
125,William Taupin seems to have left his mark.,,,anger,0.6224803328514099,
126,"Thanks, comrade.",,,joy,0.9570335745811462,
127,Car accident.,,,fear,0.944034457206726,
128,"Cheer up, darling.",,,joy,0.9940524697303772,
129,And the only other remaining sample was in the canister you recover from Ambrose.,,,joy,0.8086499571800232,
130,Just give me some time to let Lila down easily. She is a really nice girl and I do not want to hurt her more than is necessary.,,,sadness,0.9859780073165894,
131,Dead bodies. The ones in the Lincoln are your... associates.,,,fear,0.6135281920433044,
132,I want to be a teacher.,,,joy,0.6936429738998413,
133,"Kellys file.  Read it.  You are going to find an angry, sexually confused girl who is made threats on her mothers life and a female lover she would never identify.",,,anger,0.6124455332756042,
134,"We saw, um, Pavarotti, eh, uh, in Ernani at the Met, and I cried...",,,sadness,0.5417138338088989,
135,I am so happy you are happy.,,,joy,0.9988699555397034,
136,"It was fun, anyhow.",,,joy,0.9968116879463196,
137,It is evitable.,,,joy,0.9979445338249208,
138,Yeah.  Me too.,,,joy,0.8143985271453857,
139,Thomas is dead but you have done nothing for which you should be ashamed.,,,sadness,0.9983610510826112,
140,All right enough!  I am tired of thinking about all this!,,,sadness,0.8770409226417542,
141,"Kay, let us see...  Cheswick first ... then Billy... Martini... Scanlon... Sefelt... Fredrickson... Taber an the Chief... Kay",,,anger,0.4583257138729095,
142,Meow.,,,anger,0.8199086785316467,
143,Come back tonight.,,,joy,0.902755856513977,
144,Wayne Gretzky.,,,anger,0.7742041349411011,
145,Have I told you how proud I am of you  ?,,,joy,0.997944176197052,
146,Well how did it happen?,,,joy,0.5531167387962341,
147,It surprises me that I am not the only one on this balcony who feels that way.,,,joy,0.8220593333244324,
148,Claymore.,,,anger,0.6629378199577332,
149,"Well, I am home now, so you can go right to sleep.  Cmon, angel.",,,joy,0.9924620985984802,
150,I am sorry.,,,sadness,0.9969165325164796,
151,"It is when you love someone, and they do not love you. And then you do something about it.",,,anger,0.5306500196456909,
152,Put your tiny little mind at ease.,,,joy,0.974722146987915,
153,Tommy...,,,anger,0.6699442863464355,
154,Without me. I am afraid. I got the axe this morning.,,,fear,0.9973045587539672,
155,Oh Jesus oh Jesus oh Jesus.,,,joy,0.6452180743217468,
156,He was Russian.  Nicholai Tachlinkov.  A legend in the business when I was just starting. I admired him.  When I heard he loved chess I became obsessed with the game.,,,love,0.9875442981719972,
157,No time like the present.  The car will bring you.,,,joy,0.574468731880188,
158,O.K.  I find I am terribly afraid of losing you.,,,fear,0.9976346492767334,
159,This is sweet!!,,,love,0.5521752238273621,
160,Do you hear anything?,,,fear,0.5725263357162476,
161,It is hard to know where to start.,,,anger,0.3690053224563598,
162,"I love you too, man.",,,love,0.8403529524803162,
163,You must really like him.,,,joy,0.9146711230278016,
164,I do not mind him...but I do think it is time for him to get back down below with the rest of the playgroup.,,,joy,0.8433961868286133,
165,Give Me this god...,,,joy,0.725579023361206,
166,Clever fellow  almost missed me.,,,joy,0.9803043007850648,
167,Go in there and lick his attitude.,,,anger,0.98707377910614,
168,"All right, all right.  I am a little tense.",,,fear,0.7999253869056702,
169,It was okay.,,,joy,0.997811496257782,
170,...Ya gave Dipper my locker.,,,anger,0.9709625840187072,
171,It is designed purely as a defensive device.  Call it a reasonable precaution.,,,anger,0.8768429160118103,
172,Do not worry.,,,joy,0.8242617249488831,
173,"Yeah, well, Bleek trusted me. We are best friends.",,,joy,0.9960055947303772,
174,"Oh lean over here, lady. Lean this way.",,,anger,0.5493499040603638,
175,Reach for the limit I always say.,,,joy,0.6694157719612122,
176,"Trust, responsibility, taking the weight, for your choices and feel ings and spending the rest of your life living up to them.  And above all, not hurting the object of your love.",,,sadness,0.8058106899261475,
177,"You are very handy, I can tell.  I bet you like to read a lot, too.",,,joy,0.9976860284805298,
178,"Finally came to your senses, huh?",,,joy,0.928989589214325,
179,They scare me too sometimes.,,,fear,0.9133437275886536,
180,"You are one hell of a detective, Mrs. Christian.",,,anger,0.9456894993782043,
181,Kirk here.,,,anger,0.458107590675354,
182,It is okay. Do not worry about it.,,,joy,0.993791162967682,
183,I was lucky in the order.  I always been lucky killin folks.,,,joy,0.9980419874191284,
184,We were worried to death.  It is awfully kind of you.,,,fear,0.9619123935699464,
185,Desmond.,,,anger,0.7465308308601379,
186,There are all sorts of men. You get to see some funny ones as a reporter.,,,surprise,0.9876282215118408,
187,"Yeah, Kim told me they were giving you their Dueling Scarlets act.  Actually, they are sophomores at Juilliard.",,,joy,0.6678395867347717,
188,This is not going to work.,,,anger,0.8809071183204651,
189,I will notI will ask for one right now.  Sally tells me she is in love with you.,,,love,0.9604704976081848,
190,Only if I want something bad enough.,,,sadness,0.6388090252876282,
191,"Monkey, this is too exciting! I cannot believe our dream is coming true.",,,joy,0.9979583024978638,
192,"Well, then, you are a lucky girl, because that babys gone to be your family.  ...I have got an appointment....",,,joy,0.9982472658157348,
193,It is a bug.,,,anger,0.9406908750534058,
194,I have never been to Earth. I have never even slept over at some other dudes house!,,,anger,0.625546932220459,
195,You are a good fellow.,,,joy,0.9981880784034728,
196,My baby daughter has died... my baby... mon petite Henriette...,,,sadness,0.9962674975395204,
197,Jos does not like the deal in South Florida...,,,anger,0.8954193592071533,
198,"I am very sorry, Jimmy.  I apologize to you.",,,sadness,0.9844400882720948,
199,I am trying to slash my wrists.,,,anger,0.9813527464866638,
200,"It is okay with me, hi Kevin.",,,joy,0.9980308413505554,
201,"We won! Ice turns back, stares them down, then turns back into his locker, dismissing them.",,,anger,0.9425489902496338,
202,Relieved?,,,joy,0.9914059638977052,
203,It must have stopped moving.  I am not getting anything.,,,anger,0.3800022006034851,
204,I cannot betray my bride.,,,anger,0.9241511821746826,
205,I was going nuts in that waiting room so I came back to check on my mom.,,,anger,0.8596828579902649,
206,See you in the morning light...,,,joy,0.90871000289917,
207,"Okay. Then, tomorrow, I take the kids with me to the picket line.",,,anger,0.5733668208122253,
208,"O, my dearest love.  Enough!  I beg you.  Stop believing in your experience.  You have never known love.  My very soul is leaving me! Catch it on your lips, and give me yours!",,,joy,0.9576030969619752,
209,I am sorry.,,,sadness,0.9969165325164796,
210,"What it be Judge. Nobody got hurt, Sister Bettys safe. This was a good day...",,,sadness,0.9441699385643004,
211,"... well, of course you can.  Mr. President, what a surprise.  What brings you here?",,,joy,0.9711044430732728,
212,I should like to see my drawing.,,,joy,0.9460417628288268,
213,I have always loved him.,,,love,0.9922052025794984,
214,Soon as I finish.,,,joy,0.8814993500709534,
215,"Oh, Miles. That is awful. What are you going to do?",,,sadness,0.8396497368812561,
216,And you have been extremely patient.,,,anger,0.4745826423168182,
217,"I hid outside in the hall till the maid came to turn down your bed. She must have forgot something and when she went to get it, she left the door open. I sneaked in and hid till she finished. Then I just looked around  and pretty soon I was afraid somebodyd notice the lights were on so I turned them off  and then I guess, I fell asleep.",,,fear,0.9972668886184692,
218,"I know it, and it feels good.  Hi, Ty.",,,joy,0.9990252256393432,
219,You mean to someone like Mr. Sheldrake.,,,anger,0.9887402653694152,
220,I never fucked Rod.,,,anger,0.9969587326049804,
221,"My lady, when one has lived with prophecy for so long, the moment of revelation is a shock.",,,surprise,0.7372809648513794,
222,No. I could not do that. I have something for you.,,,sadness,0.47347292304039,
223,It is all going to work.  We are going to save the world.,,,joy,0.9732161164283752,
224,She is gone...,,,sadness,0.8976861834526062,
225,I have missed you.,,,sadness,0.9984446167945862,
226,"My God, that was bold of you, you did not have to do that...",,,joy,0.9758793115615844,
227,"Give Me a break, will you?  Shut up.",,,anger,0.989526391029358,
228,"I love you, Elaine.",,,love,0.9489018321037292,
229,Jest with me then.,,,anger,0.9031580686569214,
230,Bens still out there ,,,anger,0.7821096777915955,
231,I saw the ad at Georges.  I Am passing through town and I Am in a hurry.,,,fear,0.6070769429206848,
232,Serafine...,,,anger,0.7056260108947754,
233,You were merciless.  You did not give a shit if you got me or not.,,,anger,0.9939619898796082,
234,Maybe later.,,,joy,0.3524564206600189,
235,"Thanks, but I have got plans.",,,joy,0.9957777261734008,
236,"Oh, you must forgive me, General Bonaparte, I am afraid you will think me incredibly stupid but I know absolutely nothing about this. Eugene is so independent  he hardly tells me anything any more, and he has so many things in his room, I must confess I was not even aware that he had this sword  you know how boys can be!",,,anger,0.4290249347686767,
237,It is a piece of the treasure of Isla de Muerta.,,,joy,0.8782646656036377,
238,Give me the Valium.,,,joy,0.5393911600112915,
239,I was getting warmed up.,,,joy,0.988058626651764,
240,"I bet you make your Daddy proud, do not you? Beautiful.",,,joy,0.9981757402420044,
241,Golden Boy.,,,joy,0.9967238306999208,
242,Your clothing reeks of it.,,,anger,0.9863983988761902,
243,It is always the women that start the trouble.,,,anger,0.99073725938797,
244,"Wrong!  I sympathize completely, because if you cannot win... then, if you do not ignore everything and everyone around you, you... you become like John Doe.  It is easier to beat a child than it is to raise it, because it takes so much work to love.  You just have to make sure you do not stop to think about the abuse, and the damage, because you will risk being sad.  Keep ignoring.",,,anger,0.3924100399017334,
245,That is the spirit  fiftyfifty.,,,joy,0.5667950510978699,
246,Because I am happy.,,,joy,0.9987253546714784,
247,"Kind of feeling your oats this morning. I have not laid a hand on you for quite a while, but that does not mean you are too old.",,,sadness,0.7303312420845032,
248,Want To go?,,,anger,0.5931824445724487,
249,Only this far.,,,anger,0.5124337077140808,
250,Yes. You have made yourself quite clear.,,,joy,0.969826877117157,
